                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0835,                  3.444,                 1.2812,                0.02226,                0.39939,                 0.2119,                0.16155,                0.76068,                 3.5886,                 1.0104,                0.00015,                0.00015,                0.00015
                      2,                0.91331,                 2.4908,                 1.1351,                0.02652,                0.45708,                0.23116,                0.18801,                0.78474,                 3.2887,                0.98032,             0.00030631,             0.00030631,             0.00030631
                      3,                0.88722,                 1.5881,                 1.1274,                0.05881,                0.90571,                0.65917,                0.53182,                0.83881,                 2.9171,                 1.0409,             0.00045619,             0.00045619,             0.00045619
                      4,                0.89903,                 1.3327,                 1.0966,                0.88326,                0.28595,                0.74884,                0.55392,                 1.0581,                 2.5099,                 1.2336,             0.00059963,             0.00059963,             0.00059963
                      5,                0.91314,                 1.2871,                  1.102,                0.93564,                0.47175,                0.83204,                0.60733,                0.99882,                 2.2865,                 1.0937,             0.00073664,             0.00073664,             0.00073664
                      6,                0.85594,                 1.1704,                 1.0607,                0.82422,                0.55979,                0.86187,                0.64075,                 0.9663,                 2.3334,                 1.1172,             0.00086721,             0.00086721,             0.00086721
                      7,                0.86715,                 1.1756,                   1.09,                0.80895,                0.65738,                0.83199,                0.60562,                0.96247,                 2.0017,                 1.1084,             0.00099135,             0.00099135,             0.00099135
                      8,                0.85634,                  1.102,                 1.0726,                0.72062,                0.66048,                0.85592,                0.64412,                0.89437,                 1.9285,                 1.0649,              0.0010768,              0.0010768,              0.0010768
                      9,                 0.8638,                 1.0443,                   1.07,                0.71299,                0.74712,                0.90178,                0.66582,                 0.8543,                 1.7692,                 1.0395,               0.001052,               0.001052,               0.001052
                     10,                0.83961,                 1.0122,                 1.0419,                0.72813,                0.70999,                0.88655,                0.65366,                0.86507,                 1.8444,                 1.0525,              0.0010273,              0.0010273,              0.0010273
                     11,                0.87877,                 1.0318,                 1.0873,                0.79747,                0.77233,                0.89679,                 0.6419,                0.88369,                 1.4586,                 1.0817,              0.0010025,              0.0010025,              0.0010025
                     12,                0.82708,                0.99823,                 1.0778,                 0.7883,                0.88977,                0.90587,                0.70282,                0.84543,                 1.2535,                 1.0777,             0.00097775,             0.00097775,             0.00097775
                     13,                 0.8168,                0.97887,                 1.0584,                0.85362,                 0.8999,                0.92332,                0.73441,                0.84924,                 1.0878,                  1.057,               0.000953,               0.000953,               0.000953
                     14,                0.80465,                 0.9424,                 1.0292,                0.89955,                0.89767,                0.92356,                0.69954,                0.88914,                 1.0262,                   1.08,             0.00092825,             0.00092825,             0.00092825
                     15,                0.79724,                0.93883,                  1.031,                0.89283,                0.87666,                 0.9356,                 0.7286,                0.93512,                 1.1257,                 1.0972,              0.0009035,              0.0009035,              0.0009035
                     16,                0.78001,                0.87344,                 1.0253,                0.90959,                0.87972,                0.94108,                0.73407,                0.93138,                 1.0375,                 1.0776,             0.00087875,             0.00087875,             0.00087875
                     17,                0.78809,                0.89695,                 1.0427,                0.84449,                0.86953,                0.92202,                0.73287,                0.91861,                 1.1589,                 1.0696,               0.000854,               0.000854,               0.000854
                     18,                0.79942,                0.89675,                 1.0323,                0.90164,                0.82353,                 0.9338,                0.72663,                0.85997,                 1.1393,                  1.026,             0.00082925,             0.00082925,             0.00082925
                     19,                0.79718,                0.89169,                 1.0553,                0.92886,                0.81748,                0.92878,                0.68482,                0.90047,                 1.1924,                 1.0365,              0.0008045,              0.0008045,              0.0008045
                     20,                0.78358,                0.88188,                 1.0377,                0.89836,                 0.8676,                0.92297,                0.72841,                0.81499,                 1.1643,                  1.002,             0.00077975,             0.00077975,             0.00077975
                     21,                0.74904,                0.84134,                 1.0326,                0.85115,                0.89918,                0.91362,                0.71346,                0.80381,                 1.1186,                0.98521,               0.000755,               0.000755,               0.000755
                     22,                0.75991,                0.85635,                 1.0179,                 0.9151,                0.83388,                0.91714,                0.69896,                0.89397,                 1.1527,                 1.0239,             0.00073025,             0.00073025,             0.00073025
                     23,                0.74342,                0.83128,                 1.0159,                0.88148,                 0.8985,                0.93116,                0.71658,                0.84981,                  1.012,                0.99232,              0.0007055,              0.0007055,              0.0007055
                     24,                0.79326,                0.83499,                 1.0432,                0.90063,                0.88764,                0.93699,                0.73072,                0.84052,                0.97934,                0.98146,             0.00068075,             0.00068075,             0.00068075
                     25,                0.72918,                0.77887,                0.99296,                 0.9107,                0.92929,                0.94055,                 0.7499,                0.79578,                0.93636,                0.95079,               0.000656,               0.000656,               0.000656
                     26,                 0.7167,                0.76425,                 1.0085,                0.94208,                0.88464,                0.93883,                 0.7574,                0.78801,                0.94094,                0.95464,             0.00063125,             0.00063125,             0.00063125
                     27,                0.71321,                0.76693,                0.99507,                0.88531,                0.91097,                0.93231,                0.73769,                 0.7997,                 0.9554,                0.97111,              0.0006065,              0.0006065,              0.0006065
                     28,                0.70604,                0.75423,                0.99037,                0.91575,                0.87177,                 0.9319,                0.73574,                0.81532,                0.98433,                0.98544,             0.00058175,             0.00058175,             0.00058175
                     29,                0.68539,                 0.7347,                0.98718,                0.91464,                 0.9057,                0.93495,                0.74306,                0.78604,                0.96851,                0.97621,               0.000557,               0.000557,               0.000557
                     30,                0.67585,                0.72866,                0.97605,                0.93791,                0.92725,                0.93994,                0.75413,                0.75782,                0.91902,                0.98129,             0.00053225,             0.00053225,             0.00053225
                     31,                0.69263,                0.72072,                0.97962,                 0.9234,                0.93361,                0.94517,                0.75605,                0.74072,                0.89869,                0.98063,              0.0005075,              0.0005075,              0.0005075
                     32,                0.69929,                0.71886,                 1.0048,                0.90683,                0.94088,                0.94518,                0.75298,                0.71553,                0.91374,                0.96399,             0.00048275,             0.00048275,             0.00048275
                     33,                0.65259,                0.70724,                0.97219,                0.92324,                0.88738,                0.93596,                0.75534,                0.70155,                0.94048,                0.94569,               0.000458,               0.000458,               0.000458
                     34,                0.65128,                0.70927,                0.99336,                0.89571,                0.90881,                0.93265,                0.74589,                0.69522,                0.95204,                0.93952,             0.00043325,             0.00043325,             0.00043325
                     35,                0.66647,                0.69755,                0.99175,                 0.8871,                 0.9168,                0.90797,                0.70726,                0.72467,                  0.979,                0.94276,              0.0004085,              0.0004085,              0.0004085
                     36,                 0.6776,                0.68849,                0.98397,                0.88472,                0.90916,                0.90003,                0.72053,                0.72319,                0.96857,                0.96108,             0.00038375,             0.00038375,             0.00038375
                     37,                0.65012,                0.69103,                0.96648,                0.89578,                0.90775,                0.89838,                0.72317,                0.71894,                0.94865,                0.95844,               0.000359,               0.000359,               0.000359
                     38,                0.61564,                0.65976,                0.98868,                0.91925,                0.87771,                0.91587,                0.74667,                0.69656,                 0.9004,                0.94246,             0.00033425,             0.00033425,             0.00033425
                     39,                0.61792,                0.65251,                0.97477,                0.93852,                0.88454,                0.93459,                0.74958,                0.72689,                 0.8668,                0.94682,              0.0003095,              0.0003095,              0.0003095
                     40,                0.62112,                0.64719,                0.96432,                0.96727,                0.88689,                0.93767,                0.75973,                0.72047,                0.85906,                0.93989,             0.00028475,             0.00028475,             0.00028475
                     41,                 0.5796,                0.84755,                  0.937,                0.95946,                 0.8898,                0.93003,                0.75179,                0.72973,                0.85144,                 0.9499,                0.00026,                0.00026,                0.00026
                     42,                0.58309,                0.79166,                0.92156,                 0.9453,                0.88882,                 0.9284,                0.75045,                0.72882,                0.85723,                0.95003,             0.00023525,             0.00023525,             0.00023525
                     43,                0.56695,                 0.7835,                 0.9035,                 0.8978,                0.92313,                 0.9324,                0.75197,                0.71883,                0.90411,                0.93939,              0.0002105,              0.0002105,              0.0002105
                     44,                0.59332,                0.80344,                0.90669,                0.90518,                0.92293,                 0.9289,                0.74319,                0.70274,                0.88442,                0.93179,             0.00018575,             0.00018575,             0.00018575
                     45,                0.56099,                0.73492,                0.90021,                0.92098,                0.90438,                0.93595,                0.74878,                0.70133,                0.86479,                0.93399,               0.000161,               0.000161,               0.000161
                     46,                0.55284,                0.71001,                 0.8914,                0.91629,                0.90274,                0.94213,                 0.7469,                0.70221,                0.84062,                0.93236,             0.00013625,             0.00013625,             0.00013625
                     47,                0.53911,                0.68078,                0.88717,                 0.9291,                0.88223,                0.94317,                0.74627,                0.70494,                0.84095,                0.93625,              0.0001115,              0.0001115,              0.0001115
                     48,                 0.5508,                0.68671,                0.89662,                0.92621,                0.88241,                0.93917,                0.74947,                0.70058,                 0.8366,                0.93609,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.54928,                0.67419,                0.90208,                  0.911,                0.89574,                 0.9394,                0.75249,                 0.6966,                0.83478,                0.93378,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                0.53034,                0.67643,                0.90429,                0.91223,                0.89643,                 0.9394,                0.75922,                0.69373,                 0.8369,                0.92988,              3.725e-05,              3.725e-05,              3.725e-05
